Archivo,Chunk index,Caracteres,Palabras,Dimensión vector,Norma,Términos sparse
CVA-IN-001 Ingreso de reclamos.pdf,0,54,13,1024,1.0,11
CVA-IN-001 Ingreso de reclamos.pdf,1,33,6,1024,1.0,4
CVA-IN-001 Ingreso de reclamos.pdf,2,216,35,1024,1.0,16
CVA-IN-001 Ingreso de reclamos.pdf,3,1603,252,1024,1.0,90
CVA-IN-001 Ingreso de reclamos.pdf,4,611,81,1024,1.0,49
CVA-IN-001 Ingreso de reclamos.pdf,5,390,66,1024,1.0,27
CVA-IN-001 Ingreso de reclamos.pdf,6,168,29,1024,1.0,14
CVA-IN-001 Ingreso de reclamos.pdf,7,1363,248,1024,1.0,80
CVA-IN-002 Emisión de comprobantes.pdf,0,119,22,1024,1.0,17
CVA-IN-002 Emisión de comprobantes.pdf,1,205,31,1024,1.0,13
CVA-IN-002 Emisión de comprobantes.pdf,2,1050,167,1024,1.0,71
CVA-IN-002 Emisión de comprobantes.pdf,3,829,123,1024,1.0,53
CVA-IN-002 Emisión de comprobantes.pdf,4,333,50,1024,1.0,24
CVA-IN-002 Emisión de comprobantes.pdf,5,31,3,1024,1.0,2
CVA-IN-002 Emisión de comprobantes.pdf,6,283,46,1024,1.0,24
CVA-IN-002 Emisión de comprobantes.pdf,7,364,66,1024,1.0,25
CVA-IN-002 Emisión de comprobantes.pdf,8,397,63,1024,1.0,27
CVA-IN-002 Emisión de comprobantes.pdf,9,336,51,1024,1.0,24
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,0,84,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,1,2657,420,1024,1.0,89
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,2,297,46,1024,1.0,23
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,3,3176,489,1024,1.0,149
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,4,2546,378,1024,1.0,116
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,5,1007,147,1024,1.0,72
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,6,730,108,1024,1.0,59
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,7,691,113,1024,1.0,33
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,8,73,13,1024,1.0,7
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,9,1085,179,1024,1.0,61
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,10,1260,209,1024,1.0,34
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,11,1403,218,1024,1.0,81
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,12,84,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,13,5777,866,1024,1.0,78
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,14,84,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,15,2119,317,1024,1.0,92
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,16,85,17,1024,1.0,14
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,17,6647,1151,1024,1.0,167
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,18,1775,305,1024,1.0,60
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,19,85,17,1024,1.0,14
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,20,5049,857,1024,1.0,73
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,21,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,22,4309,743,1024,1.0,50
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,23,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,24,3262,539,1024,1.0,63
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,25,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,26,6223,1080,1024,1.0,75
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,27,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,28,2480,376,1024,1.0,101
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,29,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,30,4681,684,1024,1.0,50
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,31,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,32,4792,690,1024,1.0,46
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,33,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,34,4276,626,1024,1.0,45
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,35,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,36,1543,232,1024,1.0,65
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,37,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,38,3919,692,1024,1.0,79
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,39,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,40,4472,701,1024,1.0,62
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,41,85,17,1024,1.0,15
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,42,4717,718,1024,1.0,46
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,43,85,17,1024,1.0,15
