Nombre del archivo,Tiempo en minutos y seg,Páginas
CVA-IN-001 Ingreso de reclamos.pdf,0m 24.0s,10
CVA-IN-002 Emisión de comprobantes.pdf,0m 4.7s,4
CVA-PR-001 Atención de Reclamos por excesivo consumo facturado.pdf,0m 19.1s,47
CVA-PR-003 Cambio de Razón Social - Cambio de datos.pdf,0m 2.5s,10
CVA-PR-004 Solicitud de Cambio de Tarifa v7.pdf,0m 3.3s,8
CVA-PR-005 Tramitación y aprobación de corte definitivo.pdf,0m 2.0s,6
CVA-PR-006 Tramitación de servicios complementarios v8.pdf,0m 3.7s,9
CVA-PR-007 Solicitud de cambio de medidor.pdf,0m 1.7s,7
CVA-PR-008 Duplicados y Otorgamiento de crédito.pdf,0m 2.4s,8
CVA-PR-010 Elaboración del presupuesto y pago de servicio extraordinario.pdf,0m 4.3s,9
CVA-PR-011 Devolución de pagos en efectivo.pdf,0m 1.2s,6
CVA-PR-012 Emisión y Control de Comprobantes de Pago.pdf,0m 2.1s,7
CVA-PR-013 Atención de reclamos por no entrega de recibos.pdf,0m 8.5s,23
CVA-PR-014 Atención de reclamos por oposición a cambio de Razón Social.pdf,0m 9.0s,22
CVA-PR-016 Inspección de Suministros.pdf,0m 2.1s,6
CVA-PR-017 PROCEDIMIENTO DE ATENCION A PERSONAS CON DISCAPACIDAD.pdf,0m 1.1s,6
CVA-PR-018 Atención de reclamos por daños y perjuicios.pdf,0m 10.3s,25
CVFM-IN-001 Instructivo para la Lectura Remota de Clientes Mayores.pdf,0m 12.6s,6
CVFM-PR-001 Instalación de suministro - Clientes Mayores.pdf,0m 3.1s,12
CVFM-PR-002 Lectura de medidores multi-tarifa.pdf,0m 2.2s,7
PETS-REVISION DEL SISTEMA DE MEDICION.pdf,0m 4.1s,3
CVC-IN-001 Cobranza En Linea.pdf,0m 9.8s,5
CVC-IN-002 Cobranza Tiempo Diferido.pdf,0m 11.1s,5
CVC-IN-003  Cobranza por Distribuir.pdf,0m 11.5s,4
CVC-IN-005 Ejecución de Cortes y Reconexiones.pdf,0m 0.8s,5
CVC-PR-001 Recaudación de cobranzas.pdf,0m 3.8s,14
CVC-PR-002 Gestión de Cobranza de Deudas Vencidas v2020.1.pdf,0m 2.1s,8
"CVC-PR-003 Inventario, Provisión y Castigo Contable.pdf",0m 2.5s,8
CVC-PR-004 Cálculo de la Provisión genérica.pdf,0m 1.2s,3
CVC-PR-005 Cortes y Reconexiones.pdf,0m 10.1s,20
